Seasonnr,Aantal
,3763932
1,3514851
2,547359
3,311903
4,210463
5,153636
6,116951
7,94658
8,77894
9,63937
10,52230
11,43922
12,37948
13,33506
14,29679
15,25358
16,22297
17,20319
18,17289
19,15296
20,14388
21,13285
22,12608
23,11964
24,10635
25,9685
26,8735
27,6898
28,6167
29,6106
30,5863
31,5120
32,4481
33,4182
34,3270
38,2810
35,2726
36,2579
40,2561
39,2524
37,2465
41,2046
42,1871
44,1491
43,1436
45,1274
47,1242
46,1201
50,1162
49,1153
48,1132
51,840
61,754
53,714
52,693
55,645
57,603
54,597
62,548
65,543
58,515
60,495
59,485
56,471
66,447
63,379
69,346
64,315
68,306
73,304
67,300
70,299
72,263
71,247
75,246
74,240
76,229
82,227
77,200
81,173
79,166
78,164
83,162
84,161
80,157
85,142
86,124
2007,77
2008,76
2009,71
2020,40
2019,39
90,36
99,35
127,34
128,34
140,34
129,33
136,33
138,33
139,32
154,32
1995,32
121,31
122,31
124,31
125,31
126,31
130,31
131,31
132,31
133,31
134,31
135,31
141,31
142,31
143,31
144,31
145,31
147,31
148,31
149,31
153,31
157,31
1994,31
118,30
123,30
137,30
146,30
150,30
155,30
156,30
152,29
1992,29
117,28
120,28
158,28
159,28
1993,28
100,27
112,27
116,27
119,27
151,27
2013,27
113,26
171,26
172,26
87,25
115,25
161,25
168,25
175,25
1996,25
110,24
165,24
166,24
174,24
2006,24
2021,24
97,23
167,23
169,23
170,23
176,23
177,23
89,22
96,22
105,22
1997,22
88,21
111,21
114,21
160,21
1998,21
2018,21
98,20
104,20
162,20
178,20
164,19
173,19
2004,19
91,18
103,18
108,18
163,18
191,18
95,17
101,17
106,17
109,16
92,15
93,15
94,15
102,15
189,15
190,15
2003,14
179,13
180,13
181,13
184,13
187,13
193,13
196,13
201,13
205,13
207,13
210,13
212,13
213,13
214,13
215,13
216,13
217,13
218,13
219,13
220,13
221,13
182,12
183,12
186,12
197,12
198,12
199,12
206,12
208,12
209,12
349,12
2015,12
107,11
185,11
188,11
192,11
194,11
202,11
1999,11
2012,11
2016,11
195,10
203,10
2002,10
2017,10
204,9
200,8
211,8
344,7
2010,7
2011,7
223,6
272,6
222,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
345,5
346,5
347,5
348,5
350,5
351,5
352,5
353,5
354,5
355,5
356,5
285,4
1967,4
2014,4
1965,3
2000,3
1966,2
1991,2
947,1
1971,1
1973,1
1980,1
2001,1
2005,1
2022,1
