tconst;type;primary;isadult;startyear;endyear;runtimemin;averagerating;numvotes;seasonnr;episodenr;parent;budget;gross_domestic;gross_worldwide;opening_weekend;certificate;origin;filming_country;aspect_ratio
tt0102598;movie;;False;1991;;104;6.3;11473;0;0;;;21830957;25092802;5997993;;United States; USA;1.85:1;
tt0079268;movie;;False;1979;;109;6;5450;0;0;;;3000000;3000000;0;;United Kingdom; UK;2.35:1;
tt6768578;movie;;False;2018;;103;7.2;27123;0;0;;4000000;148225;5080147;13013;;Italy; Italy;2.39:1;
tt3672840;movie;;False;2015;;127;5.9;20161;0;0;;65000000;74068;122606884;30346;;China;;2.35:1;
tt0783238;movie;;False;2006;;85;6.6;15513;0;0;;;19875;905291;6613;;United States; USA;1.85:1;
tt7772580;movie;;False;2018;;90;6.2;43871;0;0;;;0;0;0;;United States; Canada;2.39:1;
tt0110944;movie;;False;1994;;107;6.4;5016;0;0;;20000000;305070;305070;0;;United States; Chile;2.39:1;
tt3089326;movie;;False;2014;;127;7.2;6750;0;0;;;0;213782;0;;Spain; Spain;2.35:1;
tt1764234;movie;;False;2012;;97;6.2;145079;0;0;;15000000;15026056;37930465;6812900;;United States; USA;2.39:1;
tt0108473;movie;;False;1993;;109;6.3;25810;0;0;;20000000;14543394;14543394;5009928;;United States; USA;1.85:1;
tt0117060;movie;;False;1996;;110;7.1;426286;0;0;;80000000;180981856;457696391;45436830;;United States; Czech Republic;2.39:1;
tt1124052;movie;;False;2009;;132;7.7;11143;0;0;;12000000;122558;10687316;5610;;China; China;2.35:1;
tt0234354;movie;;False;2001;;95;5.8;11278;0;0;;8000000;2036682;2534372;418098;;United States; USA;1.85:1;
tt2614684;movie;;False;2014;;99;7.2;56675;0;0;;;1270847;3062178;55761;;United Kingdom; UK;2.39:1;
tt4083572;movie;;False;2016;;89;4.4;10182;0;0;;;0;47740;0;;United States; USA;;
tt8075192;movie;;False;2018;;121;7.9;76571;0;0;;;3313513;67999335;89264;;Japan; Japan;1.85:1;
tt0497986;movie;;False;2006;;97;7.1;12497;0;0;;;14742;0;4630;;South Korea;;1.85:1;
tt0061810;movie;;False;1967;;114;6.1;5747;0;0;;3775000;0;0;0;;United States; Jamaica;2.35:1;
tt2359024;movie;;False;2013;;90;7.1;74275;0;0;;420000;258384;993313;32608;;United States; USA;2.35:1;
tt0109838;movie;;False;1993;;86;6.3;7404;0;0;;11000000;29296;29296;6957;;United States; USA;1.85:1;
tt8020896;movie;;False;2018;;230;7.8;6728;0;0;;;32556;39599;10854;;China;;1.78:1;
tt3348730;movie;;False;2017;;92;5.7;80050;0;0;;10000000;38052832;102952888;16640452;;United States; Canada;2.35:1;
tt0067866;movie;;False;1970;;125;7.2;29537;0;0;;1000000;80302;160468;6857;;Mexico; Mexico;1.33:1;
tt0055601;movie;;False;1961;;90;8.1;24542;0;0;;;0;15522;0;;Spain; Spain;1.66:1;
tt0090917;movie;;False;1986;;91;5.5;7968;0;0;;;8988731;8988731;3804429;;United States; USA;1.85:1;
tt1065073;movie;;False;2014;;165;7.9;354446;0;0;;4000000;25352281;48137666;387618;;United States; USA;1.85:1;
tt1901024;movie;;False;2016;;92;4.7;21175;0;0;;3800000;0;21216;0;;United States; Poland;2.35:1;
tt0217630;movie;;False;2000;;98;5.3;29189;0;0;;20000000;15618626;18404706;6008611;;United States; Canada;1.85:1;
tt9680136;movie;;False;2019;;126;5.8;7536;0;0;;;874044;6712525;432145;;India; Uttar Pradesh;;
tt0183505;movie;;False;2000;;116;6.6;238418;0;0;;51000000;90570999;149270999;24209385;;United States; USA;1.85:1;
tt0075614;movie;;False;1977;;95;6.9;5404;0;0;;;0;0;0;;Italy; Italy;1.85:1;
tt0086955;movie;;False;1984;;94;3.8;6122;0;0;;18000000;19265302;19265302;7872297;;United States; USA;1.85:1;
tt1690953;movie;;False;2013;;98;7.3;400373;0;0;;76000000;368065385;970766005;83517315;;United States;;1.85:1;
tt0112461;movie;;False;1995;;102;7.3;111970;0;0;;2000000;2381087;2402438;765335;;United States; USA;1.85:1;
tt1183276;movie;;False;2009;;90;5.9;15825;0;0;;2850000;0;0;0;;France;;2.35:1;
tt0373981;movie;;False;2003;;111;7.6;25772;0;0;;100000000;237183;1277800;10098;;Hungary; Hungary;1.85:1;
tt0265930;movie;;False;2001;;115;6.9;8573;0;0;;;1048950;17784993;33561;;Italy; Italy;2.35:1;
tt0295254;movie;;False;2002;;101;3.4;21700;0;0;;40000000;13258249;18902015;5710128;;United Kingdom; Luxembourg;2.35:1;
tt0116289;movie;;False;1996;;99;5.4;11190;0;0;;;3124440;3124440;1598051;;United States; USA;2.35:1;
tt0441796;movie;;False;2006;;85;5;32670;0;0;;7000000;23086480;27298695;10726406;;United States; USA;2.35:1;
tt2409818;movie;;False;2014;;100;5.1;14555;0;0;;3000000;1750;550108;0;;Spain; Spain;1.85:1;
tt0954990;movie;;False;2008;;102;6.7;8643;0;0;;15500000;318623;318623;37296;;United States; USA;2.35:1;
tt0092690;movie;;False;1987;;85;6;6125;0;0;;;17355263;17355263;4359040;;United States; USA;1.85:1;
tt0035567;movie;;False;1942;;114;7.2;10286;0;0;;;0;0;0;;United States; USA;1.37:1;
tt0457513;movie;;False;2006;;96;6.6;84866;0;0;;17300000;10525717;39220946;3003000;;United Kingdom; UK;1.85:1;
tt0038190;movie;;False;1945;;129;8;7895;0;0;;;0;0;0;;United States; USA;1.37:1;
tt0110005;movie;;False;1994;;99;7.3;64113;0;0;;5000000;3049135;3049135;31592;;New Zealand; New Zealand;2.39:1;
tt0310910;movie;;False;2003;;97;6.6;34505;0;0;;15000000;12251640;23014206;4800000;;United States; USA;2.35:1;
tt3861390;movie;;False;2019;;112;6.3;76207;0;0;;170000000;114766307;353284621;45990748;;United Kingdom; UK;1.85:1;
tt0101748;movie;;False;1991;;94;7.4;9345;0;0;;;394631;394631;18736;;United States; USA;1.85:1;
